Date,Open,High,Low,Close,Volume
2024-01-01,150.00,155.50,149.00,153.20,1200000
2024-01-02,153.20,158.00,152.50,157.10,1500000
2024-01-03,157.10,159.00,156.00,158.40,1100000
2024-01-04,158.40,162.00,158.00,161.50,1800000
2024-01-05,161.50,163.50,160.00,162.10,1400000
2024-01-08,162.10,165.00,161.00,164.30,1600000
2024-01-09,164.30,166.00,163.50,165.20,1300000
2024-01-10,165.20,168.00,164.00,167.50,1900000
2024-01-11,167.50,170.00,166.50,169.10,2100000
2024-01-12,169.10,171.50,168.00,170.40,1700000
2024-01-15,170.40,172.00,169.50,171.20,1250000
2024-01-16,171.20,175.00,170.50,174.10,2500000
2024-01-17,174.10,173.00,168.00,169.50,2200000
2024-01-18,169.50,172.00,169.00,171.30,1600000
2024-01-19,171.30,174.50,170.00,173.80,1850000
